state,city,token,status,date,ver,remarks
Arizona,Camp Verde,camp_verde,all,2023-02,1.46,
Arizona,Clifton,clifton,all,2023-02,1.46,
Arizona,Flagstaff,flagstaff,all,2022-11,1.46,
Arizona,Grand Canyon Village,g_canyon_vlg,all,2023-02,1.46,
Arizona,Holbrook,holbrook,all,2023-02,1.46,
Arizona,Kayenta,kayenta,all,2022-12,1.46,
Arizona,Kingman,kingman,all,2023-01,1.46,
Arizona,Nogales,nogales,all,2022-12,1.46,
Arizona,Page,page,all,2023-02,1.46,
Arizona,Phoenix,phoenix,all,2022-12,1.46,
Arizona,San Simon,san_simon,all,2022-12,1.46,
Arizona,Show Low,show_low,all,2022-12,1.46,
Arizona,Sierra Vista,sierra_vista,all,2023-02,1.46,
Arizona,Tucson,tucson,all,2023-01,1.46,
Arizona,Yuma,yuma,all,2023-01,1.46,
Arkansas,El Dorado,el_dorado,all,2024-10,1.51,
Arkansas,Fayetteville,fayetteville,all,2024-10,1.51,
Arkansas,Fort Smith,fort_smith,all,2024-10,1.51,
Arkansas,Harrison,harrison,all,2024-10,1.51,
Arkansas,Hot Springs,hot_springs,all,2024-10,1.51,
Arkansas,Jonesboro,jonesboro,all,2024-10,1.51,
Arkansas,Little Rock,little_rock,all,2024-10,1.51,
Arkansas,Pine Bluff,pine_bluff,all,2024-10,1.51,
Arkansas,Springdale,springdale,all,2024-10,1.51,
Arkansas,Texarkana,texarkana_ar,all,2024-10,1.51,
California,Bakersfield,bakersfield,all,2024-12,1.53,
California,Barstow,barstow,all,2024-11,1.53,
California,Blythe,blythe,all,2024-12,1.53,
California,El Centro,el_centro,all,2024-11,1.53,
California,Eureka,eureka,all,2024-11,1.53,
California,Fresno,fresno,all,2024-09,1.51,
California,Hilt,hilt,all,2024-10,1.51,
California,Huron,huron,all,2024-09,1.51,
California,Indio,indio,cleanup,2024-12,,IRL map
California,Los Angeles,los_angeles,all,2024-12,1.53,
California,Modesto,modesto,all,2024-09,1.51,
California,Mojave,mojave,all,2024-12,1.53,
California,Oakland,oakland,all,2024-08,1.51,
California,Oxnard,oxnard,all,2024-11,1.53,
California,Redding,redding,all,2024-10,1.51,
California,Sacramento,sacramento,all,2024-08,1.51,
California,San Diego,san_diego,all,2024-12,1.53,
California,San Francisco,san_francisc,all,2024-08,1.51,
California,San Jose,san_jose,all,2024-09,1.51,
California,Santa Cruz,santa_cruz,all,2024-09,1.51,
California,Santa Maria,santa_maria,all,2024-11,1.53,
California,Stockton,stockton,all,2024-08,1.51,
California,Truckee,truckee,all,2024-10,1.51,
California,Ukiah,ukiah,all,2024-12,1.53,
Colorado,Alamosa,alamosa,all,2023-03,1.46,
Colorado,Burlington,burlington,all,2023-02,1.46,
Colorado,Colorado Springs,colorado_spr,all,2023-03,1.46,
Colorado,Denver,denver,all,2022-12,1.46,
Colorado,Durango,durango,all,2022-12,1.46,
Colorado,Fort Collins,fort_collins,cleanup,2023-03,1.46,IRL map
